(9)	P1,M3,P5,m7,M9
(+9)	P1,M3,P5,m7,a9
(-9)	P1,M3,P5,m7,m9
(--9)	P1,M3,P5,m7,d9
(11)	P1,M3,P5,m7,M11
(+11)	P1,M3,P5,m7,a11
(-11)	P1,M3,P5,m7,m11
(--11)	P1,M3,P5,m7,d11
(13)	P1,M3,P5,m7,M13
(+13)	P1,M3,P5,m7,a13
(-13)	P1,M3,P5,m7,m13
(--13)	P1,M3,P5,m7,d13
(9,11)	P1,M3,P5,m7,M9,M11
(9,+11)	P1,M3,P5,m7,M9,a11
(9,-11)	P1,M3,P5,m7,M9,m11
(9,--11)	P1,M3,P5,m7,M9,d11
(9,13)	P1,M3,P5,m7,M9,M13
(9,+13)	P1,M3,P5,m7,M9,a13
(9,-13)	P1,M3,P5,m7,M9,m13
(9,--13)	P1,M3,P5,m7,M9,d13
(+9,11)	P1,M3,P5,m7,a9,M11
(+9,+11)	P1,M3,P5,m7,a9,a11
(+9,-11)	P1,M3,P5,m7,a9,m11
(+9,--11)	P1,M3,P5,m7,a9,d11
(+9,13)	P1,M3,P5,m7,a9,M13
(+9,+13)	P1,M3,P5,m7,a9,a13
(+9,-13)	P1,M3,P5,m7,a9,m13
(+9,--13)	P1,M3,P5,m7,a9,d13
(-9,11)	P1,M3,P5,m7,m9,M11
(-9,+11)	P1,M3,P5,m7,m9,a11
(-9,-11)	P1,M3,P5,m7,m9,m11
(-9,--11)	P1,M3,P5,m7,m9,d11
(-9,13)	P1,M3,P5,m7,m9,M13
(-9,+13)	P1,M3,P5,m7,m9,a13
(-9,-13)	P1,M3,P5,m7,m9,m13
(-9,--13)	P1,M3,P5,m7,m9,d13
(--9,11)	P1,M3,P5,m7,d9,M11
(--9,+11)	P1,M3,P5,m7,d9,a11
(--9,-11)	P1,M3,P5,m7,d9,m11
(--9,--11)	P1,M3,P5,m7,d9,d11
(--9,13)	P1,M3,P5,m7,d9,M13
(--9,+13)	P1,M3,P5,m7,d9,a13
(--9,-13)	P1,M3,P5,m7,d9,m13
(--9,--13)	P1,M3,P5,m7,d9,d13
(11,13)	P1,M3,P5,m7,M11,M13
(11,+13)	P1,M3,P5,m7,M11,a13
(11,-13)	P1,M3,P5,m7,M11,m13
(11,--13)	P1,M3,P5,m7,M11,d13
(+11,13)	P1,M3,P5,m7,a11,M13
(+11,+13)	P1,M3,P5,m7,a11,a13
(+11,-13)	P1,M3,P5,m7,a11,m13
(+11,--13)	P1,M3,P5,m7,a11,d13
(-11,13)	P1,M3,P5,m7,m11,M13
(-11,+13)	P1,M3,P5,m7,m11,a13
(-11,-13)	P1,M3,P5,m7,m11,m13
(-11,--13)	P1,M3,P5,m7,m11,d13
(--11,13)	P1,M3,P5,m7,d11,M13
(--11,+13)	P1,M3,P5,m7,d11,a13
(--11,-13)	P1,M3,P5,m7,d11,m13
(--11,--13)	P1,M3,P5,m7,d11,d13
(9,11,13)	P1,M3,P5,m7,M9,M11,M13
(9,11,+13)	P1,M3,P5,m7,M9,M11,a13
(9,11,-13)	P1,M3,P5,m7,M9,M11,m13
(9,11,--13)	P1,M3,P5,m7,M9,M11,d13
(9,+11,13)	P1,M3,P5,m7,M9,a11,M13
(9,+11,+13)	P1,M3,P5,m7,M9,a11,a13
(9,+11,-13)	P1,M3,P5,m7,M9,a11,m13
(9,+11,--13)	P1,M3,P5,m7,M9,a11,d13
(9,-11,13)	P1,M3,P5,m7,M9,m11,M13
(9,-11,+13)	P1,M3,P5,m7,M9,m11,a13
(9,-11,-13)	P1,M3,P5,m7,M9,m11,m13
(9,-11,--13)	P1,M3,P5,m7,M9,m11,d13
(9,--11,13)	P1,M3,P5,m7,M9,d11,M13
(9,--11,+13)	P1,M3,P5,m7,M9,d11,a13
(9,--11,-13)	P1,M3,P5,m7,M9,d11,m13
(9,--11,--13)	P1,M3,P5,m7,M9,d11,d13
(+9,11,13)	P1,M3,P5,m7,a9,M11,M13
(+9,11,+13)	P1,M3,P5,m7,a9,M11,a13
(+9,11,-13)	P1,M3,P5,m7,a9,M11,m13
(+9,11,--13)	P1,M3,P5,m7,a9,M11,d13
(+9,+11,13)	P1,M3,P5,m7,a9,a11,M13
(+9,+11,+13)	P1,M3,P5,m7,a9,a11,a13
(+9,+11,-13)	P1,M3,P5,m7,a9,a11,m13
(+9,+11,--13)	P1,M3,P5,m7,a9,a11,d13
(+9,-11,13)	P1,M3,P5,m7,a9,m11,M13
(+9,-11,+13)	P1,M3,P5,m7,a9,m11,a13
(+9,-11,-13)	P1,M3,P5,m7,a9,m11,m13
(+9,-11,--13)	P1,M3,P5,m7,a9,m11,d13
(+9,--11,13)	P1,M3,P5,m7,a9,d11,M13
(+9,--11,+13)	P1,M3,P5,m7,a9,d11,a13
(+9,--11,-13)	P1,M3,P5,m7,a9,d11,m13
(+9,--11,--13)	P1,M3,P5,m7,a9,d11,d13
(-9,11,13)	P1,M3,P5,m7,m9,M11,M13
(-9,11,+13)	P1,M3,P5,m7,m9,M11,a13
(-9,11,-13)	P1,M3,P5,m7,m9,M11,m13
(-9,11,--13)	P1,M3,P5,m7,m9,M11,d13
(-9,+11,13)	P1,M3,P5,m7,m9,a11,M13
(-9,+11,+13)	P1,M3,P5,m7,m9,a11,a13
(-9,+11,-13)	P1,M3,P5,m7,m9,a11,m13
(-9,+11,--13)	P1,M3,P5,m7,m9,a11,d13
(-9,-11,13)	P1,M3,P5,m7,m9,m11,M13
(-9,-11,+13)	P1,M3,P5,m7,m9,m11,a13
(-9,-11,-13)	P1,M3,P5,m7,m9,m11,m13
(-9,-11,--13)	P1,M3,P5,m7,m9,m11,d13
(-9,--11,13)	P1,M3,P5,m7,m9,d11,M13
(-9,--11,+13)	P1,M3,P5,m7,m9,d11,a13
(-9,--11,-13)	P1,M3,P5,m7,m9,d11,m13
(-9,--11,--13)	P1,M3,P5,m7,m9,d11,d13
(--9,11,13)	P1,M3,P5,m7,d9,M11,M13
(--9,11,+13)	P1,M3,P5,m7,d9,M11,a13
(--9,11,-13)	P1,M3,P5,m7,d9,M11,m13
(--9,11,--13)	P1,M3,P5,m7,d9,M11,d13
(--9,+11,13)	P1,M3,P5,m7,d9,a11,M13
(--9,+11,+13)	P1,M3,P5,m7,d9,a11,a13
(--9,+11,-13)	P1,M3,P5,m7,d9,a11,m13
(--9,+11,--13)	P1,M3,P5,m7,d9,a11,d13
(--9,-11,13)	P1,M3,P5,m7,d9,m11,M13
(--9,-11,+13)	P1,M3,P5,m7,d9,m11,a13
(--9,-11,-13)	P1,M3,P5,m7,d9,m11,m13
(--9,-11,--13)	P1,M3,P5,m7,d9,m11,d13
(--9,--11,13)	P1,M3,P5,m7,d9,d11,M13
(--9,--11,+13)	P1,M3,P5,m7,d9,d11,a13
(--9,--11,-13)	P1,M3,P5,m7,d9,d11,m13
